path,expected,produced,unexpected,bytes
outputs/analysis/metric_sensitivity.csv,True,True,False,1039
outputs/analysis/paired_fold_differences.csv,True,True,False,1080
outputs/audit/applied_rulings.csv,True,True,False,1398
outputs/audit/data_audit.csv,True,True,False,1948
outputs/audit/environment.json,True,True,False,1226
outputs/audit/evaluation_framework.md,True,True,False,1087
outputs/audit/feature_display_names.csv,True,True,False,1348
outputs/audit/invariant_results.json,True,True,False,74
outputs/audit/leakage_register.csv,True,True,False,39
outputs/audit/problem_definition.md,True,True,False,1076
outputs/audit/reproducibility.json,True,True,False,88
outputs/audit/target_rate_by_position.csv,True,True,False,305
outputs/audit/warnings.csv,True,True,False,108
outputs/eda/correlation_matrix.csv,True,True,False,11201
outputs/eda/eda_findings.md,True,True,False,2527
outputs/findings/structural_findings.md,True,True,False,3463
outputs/interpretability/dt_structure.txt,True,True,False,1032
outputs/interpretability/feature_rankings_combined.csv,True,True,False,2566
outputs/interpretability/interpretability_summary.csv,True,True,False,861
outputs/interpretability/lr_coefficients.csv,True,True,False,4101
outputs/interpretability/native_importance_dt.csv,True,True,False,1270
outputs/interpretability/native_importance_lr.csv,True,True,False,3284
outputs/interpretability/native_importance_rf.csv,True,True,False,1551
outputs/interpretability/native_importance_terms_dt.csv,True,True,False,2360
outputs/interpretability/native_importance_terms_rf.csv,True,True,False,2732
outputs/interpretability/native_importance_terms_xgb.csv,True,True,False,2726
outputs/interpretability/native_importance_xgb.csv,True,True,False,1551
outputs/interpretability/permutation_importance_dt.csv,True,True,False,1734
outputs/interpretability/permutation_importance_lr.csv,True,True,False,2021
outputs/interpretability/permutation_importance_rf.csv,True,True,False,2193
outputs/interpretability/permutation_importance_xgb.csv,True,True,False,2201
outputs/interpretability/shap_summary_dt.csv,True,True,False,2867
outputs/interpretability/shap_summary_lr.csv,True,True,False,2848
outputs/interpretability/shap_summary_rf.csv,True,True,False,3724
outputs/interpretability/shap_summary_xgb.csv,True,True,False,3471
outputs/interpretability/shap_terms_dt.csv,True,True,False,2680
outputs/interpretability/shap_terms_lr.csv,True,True,False,4021
outputs/interpretability/shap_terms_rf.csv,True,True,False,3478
outputs/interpretability/shap_terms_xgb.csv,True,True,False,3435
outputs/manifest.csv,True,True,False,0
outputs/modelling/baseline_cv.csv,True,True,False,245
outputs/modelling/calibration.csv,True,True,False,454
outputs/modelling/confusion_matrices.csv,True,True,False,103
outputs/modelling/nested_cv.csv,True,True,False,6880
outputs/modelling/oof_predictions_dt.csv,True,True,False,697918
outputs/modelling/oof_predictions_lr.csv,True,True,False,700176
outputs/modelling/oof_predictions_rf.csv,True,True,False,700186
outputs/modelling/oof_predictions_xgb.csv,True,True,False,700538
outputs/modelling/reliability_bins.csv,True,True,False,1853
outputs/modelling/test_results.csv,True,True,False,824
outputs/modelling/threshold_sweep_dt.csv,True,True,False,3354
outputs/modelling/threshold_sweep_lr.csv,True,True,False,1872307
outputs/modelling/threshold_sweep_rf.csv,True,True,False,1822375
outputs/modelling/threshold_sweep_xgb.csv,True,True,False,1869660
outputs/modelling/thresholds_selected.csv,True,True,False,553
outputs/preprocessing/feature_sets_by_model.csv,True,True,False,1339
outputs/registry.csv,True,True,False,258261
outputs/registry_expected_keys.csv,True,True,False,75389
outputs/split/fold_indices.pkl,True,True,False,960749
outputs/split/split_spec.json,True,True,False,319260
plots/calibration/reliability_curves.png,True,True,False,105989
plots/eda/class_balance.png,True,True,False,40633
plots/eda/correlation_heatmap.png,True,True,False,237420
plots/eda/quantitative_by_outcome.png,True,True,False,118941
plots/eda/target_rate_by_position.png,True,True,False,73749
plots/interpretability/decision_tree.png,True,True,False,454409
plots/interpretability/lr_coefficients.png,True,True,False,152558
plots/interpretability/permutation_importance_dt.png,True,True,False,99189
plots/interpretability/permutation_importance_lr.png,True,True,False,93878
plots/interpretability/permutation_importance_rf.png,True,True,False,101468
plots/interpretability/permutation_importance_xgb.png,True,True,False,100361
plots/interpretability/shap_importance_dt.png,True,True,False,96833
plots/interpretability/shap_importance_lr.png,True,True,False,94340
plots/interpretability/shap_importance_rf.png,True,True,False,102218
plots/interpretability/shap_importance_xgb.png,True,True,False,102563
plots/thresholds/threshold_sweep_dt.png,True,True,False,78750
plots/thresholds/threshold_sweep_lr.png,True,True,False,86984
plots/thresholds/threshold_sweep_rf.png,True,True,False,84494
plots/thresholds/threshold_sweep_xgb.png,True,True,False,86996
