path,expected,produced,bytes
outputs/analysis/metric_sensitivity.csv,True,True,1009
outputs/analysis/paired_fold_differences.csv,True,True,1066
outputs/audit/applied_rulings.csv,True,True,1406
outputs/audit/data_audit.csv,True,True,1832
outputs/audit/environment.json,True,True,1121
outputs/audit/evaluation_framework.md,True,True,946
outputs/audit/feature_display_names.csv,True,True,798
outputs/audit/invariant_results.json,True,True,74
outputs/audit/leakage_register.csv,True,True,226
outputs/audit/problem_definition.md,True,True,949
outputs/audit/reproducibility.json,True,True,88
outputs/audit/target_rate_by_position.csv,True,True,358
outputs/audit/warnings.csv,True,True,108
outputs/eda/correlation_matrix.csv,True,True,2255
outputs/eda/eda_findings.md,True,True,2359
outputs/findings/structural_findings.md,True,True,2047
outputs/interpretability/dt_structure.txt,True,True,506
outputs/interpretability/feature_rankings_combined.csv,True,True,1682
outputs/interpretability/interpretability_summary.csv,True,True,757
outputs/interpretability/lr_coefficients.csv,True,True,4966
outputs/interpretability/native_importance_dt.csv,True,True,610
outputs/interpretability/native_importance_lr.csv,True,True,4362
outputs/interpretability/native_importance_rf.csv,True,True,795
outputs/interpretability/native_importance_terms_dt.csv,True,True,2910
outputs/interpretability/native_importance_terms_rf.csv,True,True,3654
outputs/interpretability/native_importance_terms_xgb.csv,True,True,3617
outputs/interpretability/native_importance_xgb.csv,True,True,795
outputs/interpretability/permutation_importance_dt.csv,True,True,1553
outputs/interpretability/permutation_importance_lr.csv,True,True,2871
outputs/interpretability/permutation_importance_rf.csv,True,True,2858
outputs/interpretability/permutation_importance_xgb.csv,True,True,2858
outputs/interpretability/shap_summary_dt.csv,True,True,1673
outputs/interpretability/shap_summary_lr.csv,True,True,2138
outputs/interpretability/shap_summary_rf.csv,True,True,2201
outputs/interpretability/shap_summary_xgb.csv,True,True,2037
outputs/interpretability/shap_terms_dt.csv,True,True,3327
outputs/interpretability/shap_terms_lr.csv,True,True,4306
outputs/interpretability/shap_terms_rf.csv,True,True,4898
outputs/interpretability/shap_terms_xgb.csv,True,True,4770
outputs/manifest.csv,True,True,0
outputs/modelling/baseline_cv.csv,True,True,249
outputs/modelling/calibration.csv,True,True,452
outputs/modelling/confusion_matrices.csv,True,True,99
outputs/modelling/nested_cv.csv,True,True,6904
outputs/modelling/oof_predictions_dt.csv,True,True,1069125
outputs/modelling/oof_predictions_lr.csv,True,True,1072406
outputs/modelling/oof_predictions_rf.csv,True,True,1071075
outputs/modelling/oof_predictions_xgb.csv,True,True,1073397
outputs/modelling/reliability_bins.csv,True,True,2048
outputs/modelling/test_results.csv,True,True,828
outputs/modelling/threshold_sweep_dt.csv,True,True,2132
outputs/modelling/threshold_sweep_lr.csv,True,True,3062190
outputs/modelling/threshold_sweep_rf.csv,True,True,3057774
outputs/modelling/threshold_sweep_xgb.csv,True,True,3055741
outputs/modelling/thresholds_selected.csv,True,True,884
outputs/preprocessing/feature_sets_by_model.csv,True,True,1270
outputs/registry.csv,True,True,114488
outputs/registry_expected_keys.csv,True,True,29522
outputs/split/fold_indices.pkl,True,True,1447477
outputs/split/split_spec.json,True,True,486581
plots/calibration/reliability_curves.png,True,True,103095
plots/eda/class_balance.png,True,True,41972
plots/eda/correlation_heatmap.png,True,True,121939
plots/eda/quantitative_by_outcome.png,True,True,212183
plots/interpretability/decision_tree.png,True,True,290156
plots/interpretability/lr_coefficients.png,True,True,117264
plots/interpretability/permutation_importance_dt.png,True,True,85446
plots/interpretability/permutation_importance_lr.png,True,True,90225
plots/interpretability/permutation_importance_rf.png,True,True,93333
plots/interpretability/permutation_importance_xgb.png,True,True,93006
plots/interpretability/shap_importance_dt.png,True,True,82492
plots/interpretability/shap_importance_lr.png,True,True,86042
plots/interpretability/shap_importance_rf.png,True,True,89012
plots/interpretability/shap_importance_xgb.png,True,True,85367
plots/thresholds/threshold_sweep_dt.png,True,True,70960
plots/thresholds/threshold_sweep_lr.png,True,True,85116
plots/thresholds/threshold_sweep_rf.png,True,True,85377
plots/thresholds/threshold_sweep_xgb.png,True,True,85788
