path,expected,produced,bytes
outputs/analysis/metric_sensitivity.csv,True,True,1033
outputs/analysis/paired_fold_differences.csv,True,True,1066
outputs/audit/applied_rulings.csv,True,True,1143
outputs/audit/data_audit.csv,True,True,1994
outputs/audit/environment.json,True,True,1119
outputs/audit/evaluation_framework.md,True,True,911
outputs/audit/feature_display_names.csv,True,True,1018
outputs/audit/invariant_results.json,True,True,74
outputs/audit/leakage_register.csv,True,True,324
outputs/audit/problem_definition.md,True,True,833
outputs/audit/reproducibility.json,True,True,321
outputs/audit/target_rate_by_position.csv,True,True,338
outputs/audit/warnings.csv,True,True,108
outputs/eda/correlation_matrix.csv,True,True,3053
outputs/eda/eda_findings.md,True,True,2027
outputs/findings/structural_findings.md,True,True,2136
outputs/interpretability/dt_structure.txt,True,True,728
outputs/interpretability/feature_rankings_combined.csv,True,True,1420
outputs/interpretability/interpretability_summary.csv,True,True,922
outputs/interpretability/lr_coefficients.csv,True,True,2270
outputs/interpretability/native_importance_dt.csv,True,True,548
outputs/interpretability/native_importance_lr.csv,True,True,1376
outputs/interpretability/native_importance_rf.csv,True,True,646
outputs/interpretability/native_importance_terms_dt.csv,True,True,760
outputs/interpretability/native_importance_terms_rf.csv,True,True,858
outputs/interpretability/native_importance_terms_xgb.csv,True,True,861
outputs/interpretability/native_importance_xgb.csv,True,True,649
outputs/interpretability/permutation_importance_dt.csv,True,True,1568
outputs/interpretability/permutation_importance_lr.csv,True,True,2186
outputs/interpretability/permutation_importance_rf.csv,True,True,2134
outputs/interpretability/permutation_importance_xgb.csv,True,True,2131
outputs/interpretability/shap_summary_dt.csv,True,True,1427
outputs/interpretability/shap_summary_lr.csv,True,True,1670
outputs/interpretability/shap_summary_rf.csv,True,True,1732
outputs/interpretability/shap_summary_xgb.csv,True,True,1592
outputs/interpretability/shap_terms_dt.csv,True,True,947
outputs/interpretability/shap_terms_lr.csv,True,True,1525
outputs/interpretability/shap_terms_rf.csv,True,True,1158
outputs/interpretability/shap_terms_xgb.csv,True,True,1131
outputs/manifest.csv,True,True,0
outputs/modelling/baseline_cv.csv,True,True,246
outputs/modelling/calibration.csv,True,True,455
outputs/modelling/confusion_matrices.csv,True,True,82
outputs/modelling/nested_cv.csv,True,True,6894
outputs/modelling/oof_predictions_dt.csv,True,True,55333
outputs/modelling/oof_predictions_lr.csv,True,True,73514
outputs/modelling/oof_predictions_rf.csv,True,True,69783
outputs/modelling/oof_predictions_xgb.csv,True,True,74824
outputs/modelling/reliability_bins.csv,True,True,1686
outputs/modelling/test_results.csv,True,True,804
outputs/modelling/threshold_sweep_dt.csv,True,True,3025
outputs/modelling/threshold_sweep_lr.csv,True,True,179046
outputs/modelling/threshold_sweep_rf.csv,True,True,147578
outputs/modelling/threshold_sweep_xgb.csv,True,True,182059
outputs/modelling/thresholds_selected.csv,True,True,876
outputs/preprocessing/feature_sets_by_model.csv,True,True,1775
outputs/registry.csv,True,True,97865
outputs/registry_expected_keys.csv,True,True,26913
outputs/split/fold_indices.pkl,True,True,101549
outputs/split/split_spec.json,True,True,30808
plots/calibration/reliability_curves.png,True,True,139629
plots/eda/class_balance.png,True,True,39774
plots/eda/correlation_heatmap.png,True,True,140139
plots/eda/quantitative_by_outcome.png,True,True,299289
plots/interpretability/decision_tree.png,True,True,355768
plots/interpretability/lr_coefficients.png,True,True,100121
plots/interpretability/permutation_importance_dt.png,True,True,82221
plots/interpretability/permutation_importance_lr.png,True,True,85072
plots/interpretability/permutation_importance_rf.png,True,True,82248
plots/interpretability/permutation_importance_xgb.png,True,True,82257
plots/interpretability/shap_importance_dt.png,True,True,77343
plots/interpretability/shap_importance_lr.png,True,True,79676
plots/interpretability/shap_importance_rf.png,True,True,78180
plots/interpretability/shap_importance_xgb.png,True,True,77437
plots/thresholds/threshold_sweep_dt.png,True,True,72905
plots/thresholds/threshold_sweep_lr.png,True,True,81624
plots/thresholds/threshold_sweep_rf.png,True,True,80224
plots/thresholds/threshold_sweep_xgb.png,True,True,78087
